converted,ai_chat_engaged,service_enc,country_enc,hour_of_day,daily_request_volume,funnel_depth
0,0,2,2,12,1244.0,1
0,0,0,0,11,1215.0,1
0,0,2,0,14,1272.0,1
1,0,4,4,19,908.0,2
0,0,4,0,11,914.0,1
1,0,0,0,12,1535.0,3
0,0,3,0,8,1096.0,1
0,0,3,0,14,1299.0,1
0,1,1,0,7,1311.0,2
0,0,3,1,8,1020.0,1
0,0,0,3,15,1281.0,2
0,0,2,0,16,1255.0,2
0,1,3,1,15,1187.0,2
1,0,2,2,8,1244.0,3
1,0,1,2,14,198.0,3
0,0,2,0,13,1256.0,1
0,0,3,4,10,1203.0,2
0,0,0,0,8,1197.0,2
1,1,2,2,14,1272.0,3
1,0,4,4,14,900.0,2
0,0,0,0,15,1176.0,1
1,1,2,0,11,1311.0,3
0,0,2,2,18,1307.0,2
1,1,1,3,11,1350.0,3
0,0,2,0,14,1222.0,2
0,0,2,1,10,1233.0,1
0,1,3,0,10,1207.0,2
0,0,3,0,20,1096.0,1
0,0,3,2,12,1525.0,1
0,0,3,4,10,1449.0,3
1,1,0,0,18,1517.0,3
0,0,3,0,1,1284.0,1
1,0,1,4,19,1319.0,3
0,0,3,0,11,1161.0,1
0,0,2,0,17,1308.0,2
0,1,3,0,18,1226.0,2
1,0,3,1,17,1448.0,4
0,0,2,2,17,1128.0,1
0,0,0,0,15,1479.0,2
0,0,2,0,10,1292.0,1
0,0,2,2,15,1323.0,2
0,0,4,4,9,895.0,1
1,0,2,0,8,1284.0,3
1,0,0,4,14,1396.0,3
0,0,0,2,12,1396.0,1
0,0,0,2,17,1479.0,1
0,0,4,0,11,899.0,1
0,0,3,0,10,1051.0,1
0,0,3,2,19,1187.0,1
0,0,3,1,18,1020.0,1
0,0,2,2,8,1316.0,2
0,0,2,2,15,1226.0,2
0,0,0,0,10,1570.0,2
0,0,4,0,20,958.0,1
0,0,2,2,8,1267.0,2
0,1,1,4,11,178.0,1
0,0,0,2,19,1570.0,2
1,0,0,0,17,1570.0,3
0,1,3,4,9,1203.0,3
0,0,2,0,10,1254.0,1
0,0,3,2,11,1476.0,3
0,0,1,2,18,164.0,2
0,1,2,0,15,1204.0,1
0,0,4,3,9,900.0,1
1,0,4,4,7,895.0,2
0,0,0,4,22,1093.0,1
1,1,0,0,11,1261.0,3
0,1,2,4,17,1267.0,2
