service_type,session_date,total_sessions,ai_chat_sessions,ai_rate_pct,conversions
AI Cyber Assistant,2026-03-08,1264,246.0,19.46,322.0
Cyber Awareness Webinar,2026-03-08,201,28.0,13.93,47.0
Network Security Audit,2026-03-08,1381,265.0,19.19,267.0
Penetration Testing,2026-03-08,1334,239.0,17.92,108.0
Schedule Demo,2026-03-08,1005,109.0,10.85,466.0
AI Cyber Assistant,2026-03-09,1356,264.0,19.47,330.0
Cyber Awareness Webinar,2026-03-09,181,26.0,14.36,34.0
Network Security Audit,2026-03-09,1378,236.0,17.13,274.0
Penetration Testing,2026-03-09,1468,274.0,18.66,138.0
Schedule Demo,2026-03-09,947,112.0,11.83,484.0
AI Cyber Assistant,2026-03-10,1276,227.0,17.79,282.0
Cyber Awareness Webinar,2026-03-10,198,44.0,22.22,49.0
Network Security Audit,2026-03-10,1286,207.0,16.1,248.0
Penetration Testing,2026-03-10,1373,247.0,17.99,129.0
Schedule Demo,2026-03-10,885,103.0,11.64,456.0
AI Cyber Assistant,2026-03-11,1388,253.0,18.23,345.0
Cyber Awareness Webinar,2026-03-11,180,42.0,23.33,40.0
Network Security Audit,2026-03-11,1336,204.0,15.27,247.0
Penetration Testing,2026-03-11,1350,269.0,19.93,110.0
Schedule Demo,2026-03-11,994,113.0,11.37,484.0
AI Cyber Assistant,2026-03-12,1430,257.0,17.97,344.0
Cyber Awareness Webinar,2026-03-12,189,48.0,25.4,60.0
Network Security Audit,2026-03-12,1363,226.0,16.58,255.0
Penetration Testing,2026-03-12,1398,275.0,19.67,116.0
Schedule Demo,2026-03-12,878,86.0,9.79,378.0
AI Cyber Assistant,2026-03-13,1409,287.0,20.37,347.0
Cyber Awareness Webinar,2026-03-13,185,40.0,21.62,43.0
Network Security Audit,2026-03-13,1284,200.0,15.58,258.0
Penetration Testing,2026-03-13,1270,216.0,17.01,105.0
Schedule Demo,2026-03-13,924,104.0,11.26,433.0
AI Cyber Assistant,2026-03-14,1430,269.0,18.81,312.0
Cyber Awareness Webinar,2026-03-14,202,45.0,22.28,57.0
Network Security Audit,2026-03-14,1330,219.0,16.47,279.0
Penetration Testing,2026-03-14,1371,247.0,18.02,113.0
Schedule Demo,2026-03-14,871,86.0,9.87,410.0
AI Cyber Assistant,2026-03-15,1423,274.0,19.26,349.0
Cyber Awareness Webinar,2026-03-15,191,42.0,21.99,35.0
Network Security Audit,2026-03-15,1302,218.0,16.74,252.0
Penetration Testing,2026-03-15,1257,243.0,19.33,113.0
Schedule Demo,2026-03-15,906,112.0,12.36,446.0
AI Cyber Assistant,2026-03-16,1425,271.0,19.02,346.0
Cyber Awareness Webinar,2026-03-16,188,38.0,20.21,51.0
Network Security Audit,2026-03-16,1296,224.0,17.28,256.0
Penetration Testing,2026-03-16,1295,234.0,18.07,94.0
Schedule Demo,2026-03-16,931,123.0,13.21,436.0
AI Cyber Assistant,2026-03-17,1427,279.0,19.55,366.0
Cyber Awareness Webinar,2026-03-17,198,38.0,19.19,37.0
Network Security Audit,2026-03-17,1290,218.0,16.9,269.0
Penetration Testing,2026-03-17,1269,257.0,20.25,113.0
Schedule Demo,2026-03-17,946,108.0,11.42,479.0
AI Cyber Assistant,2026-03-18,1426,265.0,18.58,345.0
Cyber Awareness Webinar,2026-03-18,182,36.0,19.78,41.0
Network Security Audit,2026-03-18,1316,228.0,17.33,252.0
Penetration Testing,2026-03-18,1359,254.0,18.69,148.0
Schedule Demo,2026-03-18,934,90.0,9.64,435.0
AI Cyber Assistant,2026-03-19,1466,303.0,20.67,357.0
Cyber Awareness Webinar,2026-03-19,191,39.0,20.42,38.0
Network Security Audit,2026-03-19,1352,216.0,15.98,277.0
Penetration Testing,2026-03-19,1263,233.0,18.45,120.0
Schedule Demo,2026-03-19,953,104.0,10.91,447.0
AI Cyber Assistant,2026-03-20,1513,285.0,18.84,368.0
Cyber Awareness Webinar,2026-03-20,162,33.0,20.37,40.0
