day_of_week,hour_of_day,session_count
Wednesday,0,143
Saturday,0,142
Thursday,0,147
Sunday,0,180
Tuesday,0,111
Friday,0,131
Monday,0,165
Friday,1,66
Monday,1,106
Thursday,1,83
Tuesday,1,81
Sunday,1,90
Wednesday,1,85
Saturday,1,83
Sunday,2,65
Wednesday,2,41
Monday,2,49
Friday,2,46
Saturday,2,54
Tuesday,2,53
Thursday,2,52
Saturday,3,48
Friday,3,49
Monday,3,55
Wednesday,3,52
Sunday,3,69
Tuesday,3,45
Thursday,3,70
Tuesday,4,82
Thursday,4,85
Friday,4,73
Monday,4,83
Saturday,4,72
Wednesday,4,64
Sunday,4,85
Sunday,5,162
Tuesday,5,108
Friday,5,127
Monday,5,152
Thursday,5,119
Wednesday,5,121
Saturday,5,127
Sunday,6,269
Friday,6,258
Monday,6,358
Wednesday,6,262
Saturday,6,272
Tuesday,6,258
Thursday,6,238
Sunday,7,633
Saturday,7,514
Tuesday,7,551
Wednesday,7,534
Thursday,7,507
Friday,7,504
Monday,7,669
Tuesday,8,1047
Sunday,8,1267
Saturday,8,1063
Wednesday,8,1004
Thursday,8,1051
Monday,8,1387
Friday,8,989
Monday,9,2375
Friday,9,1863
Sunday,9,2281
Tuesday,9,1814
Thursday,9,1850
Wednesday,9,1796
Saturday,9,1861
Sunday,10,2527
Wednesday,10,2049
Saturday,10,1959
Monday,10,2421
Friday,10,2033
Tuesday,10,1928
Thursday,10,1981
Wednesday,11,1794
Thursday,11,1882
Saturday,11,1832
Tuesday,11,1777
Sunday,11,2208
Friday,11,1769
Monday,11,2277
Sunday,12,1944
Wednesday,12,1625
Friday,12,1529
Monday,12,1979
Saturday,12,1477
Tuesday,12,1510
Thursday,12,1582
Saturday,13,1339
Sunday,13,1615
Tuesday,13,1273
Wednesday,13,1334
Thursday,13,1333
Friday,13,1310
Monday,13,1660
Tuesday,14,1918
Sunday,14,2446
Friday,14,1906
Monday,14,2458
Thursday,14,1915
Wednesday,14,2033
Saturday,14,1910
Saturday,15,1926
Wednesday,15,1968
Thursday,15,1936
Sunday,15,2510
Tuesday,15,2013
Friday,15,1922
Monday,15,2567
Thursday,16,1574
Wednesday,16,1612
Saturday,16,1521
Sunday,16,1938
Tuesday,16,1570
Friday,16,1565
Monday,16,1951
Tuesday,17,1298
Friday,17,1311
Monday,17,1644
Sunday,17,1698
Thursday,17,1347
Wednesday,17,1328
Saturday,17,1353
Sunday,18,1287
Friday,18,1087
Wednesday,18,1059
Saturday,18,1056
Monday,18,1358
Tuesday,18,1033
Thursday,18,1095
Tuesday,19,769
Wednesday,19,793
Sunday,19,961
Saturday,19,753
Thursday,19,847
Friday,19,818
Monday,19,1009
Friday,20,518
Saturday,20,531
Monday,20,658
Sunday,20,609
Wednesday,20,479
Tuesday,20,548
Thursday,20,547
Monday,21,462
Friday,21,350
Thursday,21,387
Sunday,21,472
Tuesday,21,366
Saturday,21,400
Wednesday,21,387
Wednesday,22,246
Thursday,22,290
Saturday,22,226
Tuesday,22,234
Sunday,22,296
Friday,22,244
Monday,22,364
Tuesday,23,115
Thursday,23,127
Friday,23,146
Monday,23,181
Saturday,23,122
Wednesday,23,154
Sunday,23,171
