service_type,funnel_stage,sessions_at_stage
AI Cyber Assistant,awareness,35163
AI Cyber Assistant,interest,23893
AI Cyber Assistant,consideration,8088
Cyber Awareness Webinar,awareness,4244
Cyber Awareness Webinar,interest,2981
Cyber Awareness Webinar,consideration,920
Network Security Audit,awareness,29800
Network Security Audit,interest,17963
Network Security Audit,consideration,5528
Penetration Testing,awareness,27874
Penetration Testing,interest,15256
Penetration Testing,consideration,6086
Penetration Testing,conversion,2227
Schedule Demo,awareness,21769
Schedule Demo,interest,9951
