country,service_type,sessions,pct_of_country
Botswana,AI Cyber Assistant,23181,37.02
Botswana,Penetration Testing,14622,23.35
Botswana,Network Security Audit,13303,21.24
Botswana,Schedule Demo,9926,15.85
Botswana,Cyber Awareness Webinar,1589,2.54
Namibia,Network Security Audit,3187,25.5
Namibia,Penetration Testing,3084,24.68
Namibia,AI Cyber Assistant,3033,24.27
Namibia,Schedule Demo,2543,20.35
Namibia,Cyber Awareness Webinar,651,5.21
South Africa,Network Security Audit,14982,38.17
South Africa,Penetration Testing,10782,27.47
South Africa,AI Cyber Assistant,7415,18.89
South Africa,Schedule Demo,4990,12.71
South Africa,Cyber Awareness Webinar,1083,2.76
Zambia,AI Cyber Assistant,5603,30.31
Zambia,Schedule Demo,4363,23.61
Zambia,Penetration Testing,3949,21.37
Zambia,Network Security Audit,3276,17.72
Zambia,Cyber Awareness Webinar,1292,6.99
Zimbabwe,Schedule Demo,6284,27.22
Zimbabwe,AI Cyber Assistant,6115,26.49
Zimbabwe,Penetration Testing,5105,22.12
Zimbabwe,Network Security Audit,4606,19.95
Zimbabwe,Cyber Awareness Webinar,972,4.21
