converted,ai_chat_engaged,service_type,country,hour_of_day,service_enc,country_enc
1,1,AI Cyber Assistant,Botswana,16,0,0
0,0,Penetration Testing,Namibia,16,3,1
0,0,Penetration Testing,South Africa,14,3,2
0,0,AI Cyber Assistant,Botswana,10,0,0
1,0,Penetration Testing,South Africa,15,3,2
0,0,Schedule Demo,Zambia,16,4,3
1,0,Schedule Demo,Namibia,10,4,1
0,0,Penetration Testing,Zimbabwe,14,3,4
0,0,Penetration Testing,South Africa,9,3,2
0,0,Network Security Audit,Botswana,10,2,0
0,0,Cyber Awareness Webinar,Zambia,9,1,3
0,0,Cyber Awareness Webinar,Zimbabwe,11,1,4
1,0,Schedule Demo,Botswana,15,4,0
0,1,AI Cyber Assistant,Botswana,13,0,0
0,0,Penetration Testing,Botswana,16,3,0
0,0,Penetration Testing,South Africa,11,3,2
0,0,Schedule Demo,Botswana,21,4,0
0,0,Penetration Testing,Botswana,10,3,0
1,0,Schedule Demo,Zambia,16,4,3
0,0,AI Cyber Assistant,Botswana,12,0,0
0,0,AI Cyber Assistant,Zambia,19,0,3
0,0,Network Security Audit,Botswana,18,2,0
0,1,AI Cyber Assistant,Botswana,11,0,0
0,0,Network Security Audit,Botswana,14,2,0
0,0,AI Cyber Assistant,South Africa,17,0,2
0,0,Network Security Audit,Zimbabwe,18,2,4
0,0,Schedule Demo,Zimbabwe,14,4,4
0,0,AI Cyber Assistant,Botswana,9,0,0
0,0,Network Security Audit,Namibia,7,2,1
0,0,Network Security Audit,Zimbabwe,7,2,4
0,0,Schedule Demo,Zambia,15,4,3
0,0,Network Security Audit,Zimbabwe,13,2,4
0,0,Network Security Audit,South Africa,10,2,2
1,0,Penetration Testing,Botswana,12,3,0
0,0,Network Security Audit,Botswana,10,2,0
0,0,Penetration Testing,Zambia,9,3,3
0,0,Schedule Demo,South Africa,14,4,2
0,0,Network Security Audit,Zambia,7,2,3
0,0,Network Security Audit,Zimbabwe,14,2,4
0,0,Schedule Demo,Botswana,13,4,0
0,0,Network Security Audit,Botswana,10,2,0
0,0,Schedule Demo,Botswana,18,4,0
0,0,Schedule Demo,Zimbabwe,17,4,4
0,0,Penetration Testing,Zimbabwe,13,3,4
1,0,Penetration Testing,Namibia,9,3,1
1,0,Schedule Demo,Namibia,11,4,1
0,0,AI Cyber Assistant,Botswana,12,0,0
0,0,Penetration Testing,Zambia,17,3,3
0,0,AI Cyber Assistant,Zambia,11,0,3
0,0,AI Cyber Assistant,Zambia,15,0,3
0,0,Penetration Testing,Namibia,10,3,1
0,0,AI Cyber Assistant,Zimbabwe,21,0,4
0,0,AI Cyber Assistant,Zambia,10,0,3
0,0,AI Cyber Assistant,Zimbabwe,15,0,4
0,0,Network Security Audit,Botswana,7,2,0
0,0,Network Security Audit,South Africa,14,2,2
0,0,Network Security Audit,South Africa,15,2,2
1,0,Schedule Demo,Botswana,15,4,0
0,1,AI Cyber Assistant,South Africa,16,0,2
1,0,Schedule Demo,Zambia,9,4,3
